database	gene_set	EntrezID	ensembl_gene_id
HALLMARK	ADIPOGENESIS	55037	ENSG00000132300
HALLMARK	ADIPOGENESIS	23187	ENSG00000019144
HALLMARK	ADIPOGENESIS	5168	ENSG00000136960
HALLMARK	ADIPOGENESIS	26353	ENSG00000152137
HALLMARK	ADIPOGENESIS	51129	ENSG00000167772
HALLMARK	ADIPOGENESIS	11194	ENSG00000197150
HALLMARK	ADIPOGENESIS	9131	ENSG00000156709
HALLMARK	ADIPOGENESIS	901	ENSG00000138764
HALLMARK	ADIPOGENESIS	4698	ENSG00000128609
HALLMARK	ADIPOGENESIS	56729	ENSG00000104918
HALLMARK	ADIPOGENESIS	51727	ENSG00000162368
HALLMARK	ADIPOGENESIS	35	ENSG00000122971
HALLMARK	ADIPOGENESIS	83549	ENSG00000130717
HALLMARK	ADIPOGENESIS	6342	ENSG00000116171
HALLMARK	ADIPOGENESIS	1666	ENSG00000104325
HALLMARK	ADIPOGENESIS	6888	ENSG00000177156
HALLMARK	ADIPOGENESIS	7263	ENSG00000128311
HALLMARK	ADIPOGENESIS	56922	ENSG00000078070
HALLMARK	ADIPOGENESIS	7905	ENSG00000129625
HALLMARK	ADIPOGENESIS	23786	ENSG00000099968
HALLMARK	ADIPOGENESIS	1468	ENSG00000183048
HALLMARK	ADIPOGENESIS	4199	ENSG00000065833
HALLMARK	ADIPOGENESIS	5264	ENSG00000107537
HALLMARK	ADIPOGENESIS	415116	ENSG00000198355
HALLMARK	ADIPOGENESIS	7532	ENSG00000170027
HALLMARK	ADIPOGENESIS	4706	ENSG00000004779
HALLMARK	ADIPOGENESIS	2820	ENSG00000115159
HALLMARK	ADIPOGENESIS	149685	ENSG00000182035
HALLMARK	ADIPOGENESIS	92840	ENSG00000115255
HALLMARK	ADIPOGENESIS	5860	ENSG00000151552
HALLMARK	ADIPOGENESIS	1431	ENSG00000062485
HALLMARK	ADIPOGENESIS	33	ENSG00000115361
HALLMARK	ADIPOGENESIS	10580	ENSG00000095637
HALLMARK	ADIPOGENESIS	3417	ENSG00000138413
HALLMARK	ADIPOGENESIS	3033	ENSG00000138796
HALLMARK	ADIPOGENESIS	34	ENSG00000117054
HALLMARK	ADIPOGENESIS	6776	ENSG00000126561
HALLMARK	ADIPOGENESIS	54884	ENSG00000042445
HALLMARK	ADIPOGENESIS	6647	ENSG00000142168
HALLMARK	ADIPOGENESIS	2878	ENSG00000211445
HALLMARK	ADIPOGENESIS	5468	ENSG00000132170
HALLMARK	ADIPOGENESIS	19	ENSG00000165029
HALLMARK	ADIPOGENESIS	604	ENSG00000113916
HALLMARK	ADIPOGENESIS	10010	ENSG00000136560
HALLMARK	ADIPOGENESIS	1891	ENSG00000104823
HALLMARK	ADIPOGENESIS	4023	ENSG00000175445
HALLMARK	ADIPOGENESIS	10140	ENSG00000141232
HALLMARK	ADIPOGENESIS	5209	ENSG00000170525
HALLMARK	ADIPOGENESIS	2167	ENSG00000170323
HALLMARK	ADIPOGENESIS	9370	ENSG00000181092
HALLMARK	ADIPOGENESIS	3991	ENSG00000079435
HALLMARK	ADIPOGENESIS	8694	ENSG00000185000
HALLMARK	ADIPOGENESIS	1376	ENSG00000157184
HALLMARK	ADIPOGENESIS	57678	ENSG00000119927
HALLMARK	ADIPOGENESIS	79602	ENSG00000006831
HALLMARK	ADIPOGENESIS	10449	ENSG00000167315
HALLMARK	ADIPOGENESIS	2109	ENSG00000105379
HALLMARK	ADIPOGENESIS	51	ENSG00000161533
HALLMARK	ADIPOGENESIS	27250	ENSG00000150593
HALLMARK	ADIPOGENESIS	80273	ENSG00000109519
HALLMARK	ADIPOGENESIS	1892	ENSG00000127884
HALLMARK	ADIPOGENESIS	10400	ENSG00000133027
HALLMARK	ADIPOGENESIS	56246	ENSG00000170262
HALLMARK	ADIPOGENESIS	1537	ENSG00000179091
HALLMARK	ADIPOGENESIS	1384	ENSG00000095321
HALLMARK	ADIPOGENESIS	26994	ENSG00000123091
HALLMARK	ADIPOGENESIS	6817	ENSG00000196502
HALLMARK	ADIPOGENESIS	1652	ENSG00000099977
HALLMARK	ADIPOGENESIS	6390	ENSG00000117118
HALLMARK	ADIPOGENESIS	977	ENSG00000177697
HALLMARK	ADIPOGENESIS	376497	ENSG00000130304
